"region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"alabama",4799277,67,26,1,4,23680,501,38.1
"alaska",720316,63,3,5,6,32651,978,33.6
"arizona",6479703,57,4,3,30,25358,747,36.3
"arkansas",2933369,74,15,1,7,22170,480,37.5
"california",37659181,40,6,13,38,29527,1119,35.4
"colorado",5119329,70,4,3,21,31109,825,36.1
"connecticut",3583561,70,9,4,14,37892,880,40.2
"delaware",908446,65,21,3,8,29819,828,38.9
"district of columbia",619371,35,49,3,10,45290,1154,33.8
"florida",19091156,57,15,2,23,26236,838,41
"georgia",9810417,55,30,3,9,25182,673,35.6
"hawaii",1376298,23,2,37,9,29305,1220,38.3
"idaho",1583364,84,1,1,11,22568,607,34.9
"illinois",12848554,63,14,5,16,29666,759,36.8
"indiana",6514861,81,9,2,6,24635,577,37.1
"iowa",3062553,88,3,2,5,27027,534,38.1
"kansas",2868107,78,6,2,11,26929,551,36
"kentucky",4361333,86,8,1,3,23462,506,38.2
"louisiana",4567968,60,32,2,4,24442,610,36
"maine",1328320,94,1,1,1,26824,664,43.2
"maryland",5834299,54,29,6,8,36354,1034,38
"massachusetts",6605058,76,6,6,10,35763,936,39.2
"michigan",9886095,76,14,3,5,25681,623,39.1
"minnesota",5347740,83,5,4,5,30913,734,37.6
"mississippi",2976872,58,37,1,3,20618,510,36.2
"missouri",6007182,81,11,2,4,25649,549,38
"montana",998554,87,0,1,3,25373,577,39.9
"nebraska",1841625,82,4,2,9,26899,563,36.3
"nevada",2730066,53,8,7,27,26589,840,36.6
"new hampshire",1319171,92,1,2,3,33134,878,41.5
"new jersey",8832406,59,13,9,18,36027,1024,39.1
"new mexico",2069706,40,2,1,47,23763,635,36.7
"new york",19487053,58,14,8,18,32382,963,38.1
"north carolina",9651380,65,21,2,9,25284,602,37.6
"north dakota",689781,88,1,1,2,29732,564,36.4
"ohio",11549590,81,12,2,3,26046,562,39
"oklahoma",3785742,68,7,2,9,24208,525,36.2
"oregon",3868721,78,2,4,12,26809,749,38.7
"pennsylvania",12731381,79,10,3,6,28502,652,40.3
"rhode island",1051695,76,5,3,13,30469,781,39.6
"south carolina",4679602,64,28,1,5,23943,582,38.1
"south dakota",825198,84,1,1,3,25740,517,36.9
"tennessee",6402387,75,17,1,5,24409,568,38.2
"texas",25639373,45,12,4,38,26019,688,33.8
"utah",2813673,80,1,2,13,23873,739,29.6
"vermont",625904,94,1,1,2,29167,754,42
"virginia",8100653,64,19,6,8,33493,910,37.5
"washington",6819579,72,3,7,11,30742,853,37.3
"west virginia",1853619,93,3,1,1,22966,448,41.5
"wisconsin",5706871,83,6,2,6,27523,636,38.7
"wyoming",570134,85,1,1,9,28902,647,36.8
